Cathode area (mm2),Anode area (mm2),Cell voltage (V),Cell current (A),Power (w),Water flow rate (mL/min),Hydrogen flow rate (mL/min),Temperature (K)
2500,2500,3.1,35,108.5,20,250,343
2500,2500,3.1,35,108.5,30,240,343
2500,2500,3.1,35,108.5,25,230,343
2500,2500,3.1,35,108.5,15,235,343
2500,2500,3.1,35,108.5,10,235,343
2500,2500,3.1,35,108.5,5,233,343
75000,75000,1.7,0.9,1.53,1500,8,297
75000,75000,1.7,0.9,1.53,1500,2.44,297
75000,51800,0.5,0.598,0.299,1500,5.238095238,297
75000,51800,0.8,0.822,0.6576,1500,7.75,297
75000,51800,1,0.937,0.937,1500,8.833333333,297
51800,51800,0.5,0.474,0.237,1500,5,297
51800,51800,0.8,1.042,0.8336,1500,12.5,297
51800,51800,1,1.917,1.917,1500,19.16666667,297
2500,2500,1.44,2.5,3.6,40,16.66666667,353
2500,2500,1.47,5,7.35,40,33.33333333,353
2500,2500,1.5,7.5,11.25,40,50,353
2500,2500,1.52,10,15.2,40,66.66666667,353
2500,2500,1.54,12.5,19.25,40,83.33333333,353
2500,2500,1.57,15,23.55,40,100,353
2500,2500,1.59,17.5,27.825,40,116.6666667,353
2500,2500,1.6,20,32,40,133.3333333,353
2500,2500,1.62,22.5,36.45,40,150,353
2500,2500,1.65,27.5,45.375,40,170,353
10000,10000,31.2,3.3,102.96,15,510,298
10000,10000,31.3,3.5,109.55,15,550,298
10000,10000,31.5,3.8,119.7,15,560,298
10000,10000,23,0,0,15,0,298
10000,10000,31.6,3.9,123.24,15,620,298
10000,10000,32,4.5,144,15,700,298
10000,10000,32,4.6,147.2,15,720,298
10000,10000,32.1,4.6,147.66,15,720,298
10000,10000,32.1,5.2,166.92,15,800,298
10000,10000,32.2,5.1,164.22,15,800,298
10000,10000,31.7,4.7,148.99,15,810,298
10000,10000,32.1,6.3,202.23,15,1120,298
10000,10000,31.4,4.4,138.16,15,690,298
10000,10000,31.6,4.9,154.84,15,760,298
10000,10000,31.3,3.3,103.29,15,530,298
10000,10000,31.5,3.7,116.55,15,590,298
10000,10000,32.2,6.6,212.52,15,1050,298
10000,10000,32.2,7,225.4,15,1110,298
